"tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
-0.59200434 0.14698327 0.052560771 -0.42436336 -0.22019354 -0.70417659 0.094295821 0.7600206 0.43419491 0.33194815 -0.26190979 -0.62929195 0.40326853 -0.49448211 0.07762063 -0.84720624 -0.83222827 -0.88401886 0.10694605 -0.18008277 0.58639018 -0.92242703 -0.77214745 -0.89862812 -0.075303146 -0.1228472 -0.02127184 -0.93821539 -0.78395586 -0.90945233 -0.35525207 0.19265842 -0.35525207 0.19265842 -0.89598819 -0.75706523 -0.68453022 -0.78572136 -0.88931786 -0.73415019 -0.50148975 -0.33039449 -0.78226196 -0.39644826 -0.21535013 -0.68745001 -0.83132874 -0.83473572 -0.85160826 -0.88268286 -0.84120165 -0.92170361 -0.90769982 -0.732653 -0.87705157 -0.9271026 -0.80203005 -0.91602441 -0.10971764 0.14620564 -0.74606092 -0.77115707 -0.75181586 -0.85525191 -0.72211357 -0.76785281
-0.52106206 -0.00018327478 0.10661589 -0.34411877 -0.49510932 -0.46239833 -0.071495238 0.54764802 0.7526245 0.46387673 -0.66044346 -0.25281728 0.51310445 -0.30240812 -0.26881258 -0.86032343 -0.86589818 -0.86070383 -0.0072815003 -0.56837515 0.74382721 -0.81609138 -0.83928552 -0.8462809 0.032987426 -0.021001314 0.0015029871 -0.83908113 -0.83989705 -0.88534315 -0.37453266 0.18672486 -0.37453266 0.18672486 -0.85993364 -0.82890081 -0.57449454 -0.8165755 -0.86219621 -0.82321913 -0.40622706 -0.55998277 -0.61870627 -0.32100124 -0.49439945 -0.42768721 -0.85543016 -0.85707273 -0.84202105 -0.87918899 -0.88810072 -0.87833175 -0.75011989 -0.81479488 -0.82882654 -0.8372392 -0.85759326 -0.8664102 -0.071715024 0.12434413 -0.82873944 -0.82867724 -0.83108832 -0.83784092 -0.83569593 -0.81959214
-0.47255704 0.036756512 -0.05959694 -0.25556596 -0.66177362 -0.84663764 -0.45881749 0.76221235 0.60523365 0.54174973 -0.69455084 -0.78533795 0.57988206 -0.16572639 -0.10553152 -0.93256009 -0.87593077 -0.95207118 -0.026069213 -0.35628791 0.63001183 -0.9505395 -0.88774383 -0.89066134 -0.12405281 0.046929228 -0.12029038 -0.95970222 -0.9588346 -0.94335823 -0.39842956 0.1383912 -0.39842956 0.1383912 -0.92506135 -0.8925517 -0.71030197 -0.85588437 -0.95877395 -0.95602865 -0.34405424 -0.73073386 -0.87610289 -0.22326323 -0.65015203 -0.84206344 -0.93321033 -0.86738035 -0.94418761 -0.93794277 -0.89701235 -0.95883776 -0.93739546 -0.88580482 -0.88639014 -0.95464299 -0.88964515 -0.90192692 -0.15323759 0.095253246 -0.88526013 -0.90170774 -0.86856273 -0.87161095 -0.9567799 -0.95700762
-0.41627026 -0.024966026 -0.034779749 -0.29748057 -0.64215059 -0.60245658 -0.43313049 0.21426564 0.96203022 0.54211655 -0.92177585 -0.50508339 0.56938525 -0.11552087 -0.23662956 -0.85811312 -0.84150577 -0.86676027 0.054067631 -0.78365493 0.4063365 -0.85805552 -0.77886323 -0.92289811 -0.087791251 -0.073031208 -0.065517267 -0.8857363 -0.86380739 -0.92935508 -0.40479632 0.079884302 -0.40479632 0.079884302 -0.84704348 -0.84399662 -0.59553268 -0.73686656 -0.8793837 -0.87630135 -0.38504993 -0.70736084 -0.68036714 -0.26561967 -0.63309837 -0.59231003 -0.85769301 -0.84768564 -0.85945168 -0.87162109 -0.84531258 -0.87209917 -0.84538422 -0.79188439 -0.90737267 -0.86275807 -0.77263702 -0.93573372 -0.11836967 0.0083622203 -0.8285533 -0.86618957 -0.77756939 -0.75466157 -0.86582743 -0.90071535
-0.32564743 -0.19603125 0.49411433 -0.7235176 -0.29677447 -0.09689716 0.8132606 -0.25731679 0.33949864 -0.47035677 -0.61407267 -0.081412094 -0.0088162073 -0.14757014 0.28981102 -0.79689325 -0.75937745 -0.82588877 -0.0066413515 0.24275053 0.29100791 -0.78417192 -0.60326531 -0.56043323 -0.10343847 -0.15273794 -0.13899207 -0.80759746 -0.86380512 -0.78215547 -0.12309634 -0.19793397 -0.12309634 -0.19793397 -0.8039565 -0.74119014 -0.61502266 -0.53480487 -0.84873117 -0.82653359 -0.74350237 -0.49589669 -0.45077968 -0.71581701 -0.25349111 -0.0076330712 -0.80470722 -0.76467347 -0.81301551 -0.80660707 -0.77018253 -0.83678069 -0.75088462 -0.70688874 -0.60538886 -0.79516132 -0.55360574 -0.58667246 -0.48971713 -0.19863132 -0.74439339 -0.73762296 -0.69433593 -0.52212454 -0.83025919 -0.83280278
-0.27033343 0.059234721 -0.056666829 -0.41160194 -0.47189892 -0.85158078 -0.22113589 0.92433509 0.1582458 0.22838746 -0.55808291 -0.82000309 0.47816886 -0.25380572 -0.098051946 -0.90656374 -0.66133212 -0.90570575 0.13724607 -0.0080261391 0.77914893 -0.88557007 -0.88838299 -0.86043701 -0.10525916 -0.078776851 -0.17409081 -0.87684777 -0.93674488 -0.92890765 -0.52083476 -0.024711267 -0.52083476 -0.024711267 -0.84568403 -0.74513737 -0.62168128 -0.81640619 -0.92658029 -0.91253306 -0.47434129 -0.50275511 -0.84619797 -0.38842451 -0.48864597 -0.86633151 -0.9058315 -0.65426271 -0.89114588 -0.91598816 -0.69541218 -0.91942436 -0.8601466 -0.89163658 -0.81946263 -0.89361266 -0.88710496 -0.88961349 -0.21024079 -0.086485482 -0.74355849 -0.7470127 -0.84453789 -0.82887424 -0.91060079 -0.9207544
-0.07295394 -0.079915892 0.18315795 -0.76693673 -0.58874863 -0.34123043 0.61176331 -0.36120554 0.56538123 -0.44229129 -0.69351304 -0.071545067 0.22239673 0.090223915 -0.46936575 -0.81556311 -0.78849458 -0.86060924 -0.050587475 -0.31289853 -0.050284216 -0.82142441 -0.86800853 -0.81493334 -0.12196974 -0.10611262 -0.072873689 -0.82997898 -0.8793691 -0.80339604 -0.58944051 -0.22953088 -0.58944051 -0.22953088 -0.85750899 -0.72690726 -0.7886632 -0.76665146 -0.88976106 -0.80961778 -0.75172667 -0.64776352 -0.47077438 -0.77307402 -0.58528454 -0.32518835 -0.82505474 -0.80244613 -0.84986419 -0.82177844 -0.78699652 -0.86945708 -0.78247236 -0.84475962 -0.77685923 -0.83380604 -0.88558704 -0.84617441 -0.40630896 -0.26584722 -0.75237564 -0.6975268 -0.81173547 -0.77715885 -0.83573682 -0.79189352
-0.047663634 -0.12549449 -0.2995972 -0.27184095 0.024252817 -0.20044872 0.86682619 -0.36697929 -0.20853059 -0.73582112 -0.66631071 -0.61861058 0.1255607 0.65442163 0.22826169 -0.32196093 -0.38687199 -0.56262192 0.12473221 -0.2557752 -0.12528652 -0.60850362 -0.26389475 -0.093152564 -0.18189704 -0.077807488 0.10219247 -0.5040809 -0.5756738 -0.33429268 -0.060569754 -0.34032339 -0.060569754 -0.34032339 -0.34815922 -0.42504535 -0.20741505 -0.48923004 -0.4981378 -0.6037233 -0.28487375 -0.030291731 -0.26294782 -0.26669767 -0.011942013 -0.2288208 -0.37628916 -0.40076238 -0.50559351 -0.3251771 -0.41403474 -0.61953358 -0.49302208 -0.33333603 -0.066275208 -0.64517104 -0.22921865 -0.18499119 -0.32215335 -0.4529727 -0.35789771 -0.52684858 -0.4934882 -0.57548069 -0.60868629 -0.62498801
-0.028548375 -0.024652642 -0.013276903 -0.67304438 -0.92292763 -0.71191543 -0.18127212 0.75400583 0.63002074 -0.30258321 -0.9759921 -0.57421294 0.33836931 -0.027897358 -0.23555723 -0.9324106 -0.95499043 -0.94178007 0.19654113 -0.20538491 0.41355265 -0.92835739 -0.88781775 -0.92071021 -0.12979549 -0.04581924 -0.093395834 -0.93391955 -0.91456149 -0.95833303 -0.73631866 -0.44268538 -0.73631866 -0.44268538 -0.94473799 -0.91644179 -0.69943513 -0.87560178 -0.93735994 -0.90465177 -0.68218386 -0.92742633 -0.75255438 -0.6693051 -0.92438798 -0.71174831 -0.93048541 -0.95501792 -0.94017514 -0.9409635 -0.95820066 -0.94160257 -0.90680068 -0.8834056 -0.92086457 -0.93515115 -0.89135666 -0.92772544 -0.52899768 -0.48558535 -0.91634432 -0.91547605 -0.90588107 -0.87762749 -0.90934222 -0.90494595
0.022331938 -0.081228144 -0.13534026 -0.15583423 0.23105277 -0.3314826 0.82298941 -0.49433278 0.051806998 -0.85595999 -0.86032297 -0.89334376 0.054541118 0.35077568 -0.13561156 -0.22016205 -0.15948839 -0.52855236 0.6275665 -0.92601988 0.010520108 -0.52070809 0.066426336 0.34243763 -0.23312255 -0.005885396 -0.24712013 -0.46199999 -0.3024791 -0.06521927 0.0055325832 -0.26337636 0.0055325832 -0.26337636 -0.22028703 -0.32447702 0.34969146 -0.26024193 -0.26488518 -0.40271356 -0.20481443 0.080113982 -0.43348546 -0.13723596 0.2276213 -0.32920936 -0.33311193 -0.24950531 -0.5539965 -0.17669833 -0.11706288 -0.50536386 -0.36725673 -0.10254111 0.32051182 -0.56960619 0.15111986 0.22681776 -0.26648603 -0.37582607 -0.3094381 -0.34681099 -0.31137562 -0.35193707 -0.36636755 -0.49363044
